n	repo	bank	stars	license	last_commit	6mo_commits	authors_sample	maintainer_response_sample	adoption	description
78	getredash/redash	BANK	28793	BSD-2-Clause	2026-09-03	25	10	0	{'resolved': 0, 'dependent_repos': 0, 'dependent_pkgs': 0, 'downloads': None, 'reach_percentile': 70.4, 'fame_gap': None}	Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.
79	airbytehq/airbyte	BANK	22055	NOASSERTION	2026-09-12	7613	6	0	absent	Open-source data movement for ELT pipelines and AI agents — from APIs, databases & files to warehouses, lakes, and AI applications. Both
80	meltano/meltano	BANK	2624	MIT	2026-09-09	369	7	0	{'resolved': 1, 'dependent_repos': 42, 'dependent_pkgs': 1, 'downloads': 887992, 'reach_percentile': 96.6, 'fame_gap': -19.8}	Meltano: the declarative code-first data integration engine that powers your wildest data and ML-powered product ideas. Say goodbye to writing, maintaining, and
81	singer-io/tap-facebook	NEW	119	AGPL-3.0	2026-07-24	9	3	0	absent	Singer.io tap for Facebook Marketing API
82	singer-io/tap-google-analytics	NEW	26	AGPL-3.0	2025-08-07	0	0	0	absent	
83	googleapis/python-analytics-data	NEW	162	Apache-2.0	2023-10-31	0	0	0	absent	This library has moved to https://github.com/googleapis/google-cloud-python/tree/main/packages/google-analytics-data
84	googleads/google-ads-python	BANK	747	Apache-2.0	2026-09-09	27	4	0	absent	Google Ads API Client Library for Python
85	facebook/facebook-python-business-sdk	NEW	1593	NOASSERTION	2026-09-04	22	1	0	absent	Python SDK for Meta Marketing APIs
86	facebook/facebook-nodejs-business-sdk	NEW	618	NOASSERTION	2026-08-25	21	1	0	absent	Node.js SDK for Meta Marketing APIs
87	xdevplatform/twitter-api-typescript-sdk	BANK	994	Apache-2.0	2022-10-21	0	0	0	absent	A TypeScript SDK for the Twitter API
88	plhery/node-twitter-api-v2	BANK	1557	Apache-2.0	2026-08-04	4	1	2	absent	Strongly typed, full-featured, light, versatile yet powerful Twitter API v1.1 and v2 client for Node.js.
89	abraham/twitteroauth	BANK	4301	MIT	2026-09-07	72	2	2	absent	The most popular PHP library for use with the Twitter OAuth REST API.
90	bluesky-social/atproto	NEW	9641	NOASSERTION	2026-09-11	508	11	0	absent	Social networking technology created by Bluesky
91	mastodon/mastodon	NEW	50297	AGPL-3.0	2026-09-11	1509	7	0	absent	Your self-hosted, globally interconnected microblogging community
92	tus/tusd	BANK	3869	MIT	2026-09-08	22	6	1	absent	Reference server implementation in Go of tus: the open protocol for resumable file uploads
93	tus/tus-js-client	BANK	2621	MIT	2026-09-09	36	1	2	{'resolved': 1, 'dependent_repos': 1842, 'dependent_pkgs': 126, 'downloads': 3605082, 'reach_percentile': 99.1, 'fame_gap': 3.9}	A pure JavaScript client for the tus resumable upload protocol
94	adobe/XMP-Toolkit-SDK	NEW	262	BSD-3-Clause	2025-11-03	0	0	0	absent	The XMP Toolkit allows you to integrate XMP functionality into your product or solution
95	contentauth/c2pa-rs	NEW	419	NOASSERTION	2026-09-11	399	8	1	absent	Rust SDK for the core C2PA (Coalition for Content Provenance and Authenticity) specification
96	contentauth/c2patool	NEW	136	Apache-2.0	2026-09-10	92	4	1	absent	Command line tool for displaying and adding C2PA manifests
97	c2pa-org/specifications	NEW	206	CC-BY-4.0	2026-08-20	58	2	0	absent	The public specifications for the C2PA
98	heyform/heyform	BANK	8971	AGPL-3.0	2026-09-09	88	3	0	absent	Open-Source Form Builder
99	ohmyform/ohmyform	BANK	2891	AGPL-3.0	2024-10-31	0	0	0	absent	✏️ Free open source alternative to TypeForm, TellForm, or Google Forms ⛺
100	formbricks/formbricks	BANK	12933	NOASSERTION	2026-09-11	913	8	0	absent	Open Source Qualtrics Alternative
101	formio/formio	BANK	2319	OSL-3.0	2026-09-02	14	1	1	absent	A Form and Data Management Platform for Progressive Web Applications.
102	OpnForm/OpnForm	NEW	3702	NOASSERTION	2026-09-03	146	3	0	absent	Beautiful Open-Source Form Builder
103	invoiceninja/invoiceninja	BANK	10074	NOASSERTION	2026-09-12	1246	2	2	absent	A source-available invoice, quote, project and time-tracking app built with Laravel
104	akaunting/akaunting	BANK	10123	NOASSERTION	2026-09-13	388	2	0	absent	Online Accounting Software
105	InvoicePlane/InvoicePlane	BANK	3139	NOASSERTION	2026-09-08	280	3	0	absent	A self-hosted open source application for managing your invoices, clients and payments.
106	crater-invoice-inc/crater	BANK	8346	AGPL-3.0	2023-02-19	0	0	0	absent	Open Source Invoicing Solution for Individuals & Businesses
107	SolidInvoice/SolidInvoice	BANK	969	MIT	2026-09-12	867	1	0	absent	Simple and elegant invoicing solution.
108	frappe/hrms	BANK	8784	GPL-3.0	2026-09-11	1505	6	0	absent	Open Source HR and Payroll Software
109	kimai/kimai	BANK	4987	AGPL-3.0	2026-09-11	156	3	2	absent	Kimai is the #1 open-source time-tracking application. From freelancers to companies and organisations - everyone can manage timesheets, generate reports, create invoices
110	ever-co/ever-gauzy	BANK	4763	AGPL-3.0	2026-09-13	1060	3	0	absent	Ever® Gauzy™ - Open Business Management Platform (ERP/CRM/HRM/ATS/PM) - https://gauzy.co
111	activepieces/activepieces	BANK	24424	NOASSERTION	2026-09-13	1994	10	0	absent	AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with
112	n8n-io/n8n	BANK	204164	NOASSERTION	2026-09-13	5847	17	1	absent	Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.
113	windmill-labs/windmill	BANK	17914	NOASSERTION	2026-09-12	2332	6	0	absent	Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow).
114	huginn/huginn	BANK	49937	MIT	2026-09-08	282	1	0	absent	Create agents that monitor and act on your behalf. Your agents are standing by!
115	triggerdotdev/trigger.dev	BANK	16271	Apache-2.0	2026-09-12	1080	8	0	absent	Trigger.dev – build and deploy durable AI agents and workflows
116	node-red/node-red	BANK	23649	Apache-2.0	2026-09-08	538	4	0	{'resolved': 1, 'dependent_repos': 887, 'dependent_pkgs': 847, 'downloads': 153741, 'reach_percentile': 99.5, 'fame_gap': 46.6}	Low-code programming for event-driven applications
117	GrapesJS/grapesjs	NEW	26222	NOASSERTION	2026-08-25	57	6	0	absent	Free and Open source Web Builder Framework. Next generation tool for building templates without coding
118	mjmlio/mjml	BANK	18235	MIT	2026-09-10	84	7	1	absent	MJML: the only framework that makes responsive email easy
119	foundation/foundation-emails	NEW	7792	MIT	2026-03-13	3	1	0	absent	Quickly create responsive HTML emails that work on any device and client. Even Outlook.
120	Kozea/WeasyPrint	BANK	9590	BSD-3-Clause	2026-09-10	261	3	2	absent	The awesome document factory
121	gotenberg/gotenberg	BANK	13058	MIT	2026-09-13	296	3	2	absent	A developer-friendly API for converting many document formats into PDF files, and more!
122	Stirling-Tools/Stirling-PDF	NEW	91887	NOASSERTION	2026-09-11	1163	7	0	absent	#1 PDF Application on GitHub that lets you edit PDFs on any device anywhere
123	OpenLineage/OpenLineage	NEW	2656	Apache-2.0	2026-09-08	319	9	0	absent	An Open Standard for lineage metadata collection
124	dbt-labs/dbt	BANK	13812	Apache-2.0	2026-09-12	3977	14	0	absent	dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.
125	frictionlessdata/frictionless-py	BANK	843	MIT	2026-08-27	23	5	1	absent	Data management framework for Python that provides functionality to describe, extract, validate, and transform tabular data
126	restic/restic	BANK	36030	BSD-2-Clause	2026-08-29	405	9	2	absent	Fast, secure, efficient backup program
127	caddyserver/caddy	BANK	75707	Apache-2.0	2026-09-13	177	12	0	absent	Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS
128	healthchecks/healthchecks	NEW	10327	BSD-3-Clause	2026-09-10	233	1	1	absent	Open-source cron job and background task monitoring service, written in Python & Django
129	louislam/uptime-kuma	BANK	91323	MIT	2026-09-12	333	12	1	{'resolved': 1, 'dependent_repos': 0, 'dependent_pkgs': 0, 'downloads': 289, 'reach_percentile': 67.8, 'fame_gap': -36.4}	A fancy self-hosted monitoring tool
130	awesome-selfhosted/awesome-selfhosted	NEW	318953	NOASSERTION	2026-09-12	151	0	0	absent	A list of Free Software network services and web applications which can be hosted on your own servers
131	awesome-selfhosted/awesome-selfhosted-data	NEW	1137	NOASSERTION	2026-09-13	395	8	0	absent	machine-readable data for https://awesome-selfhosted.net
132	gitroomhq/postiz-agent	NEW	460	NOASSERTION	2026-09-11	27	2	0	absent	Postiz Agents CLI - connect it to Claude / OpenClaw / etc, to schedule social media posts 🤖
133	gitroomhq/postiz-docker-compose	NEW	66	AGPL-3.0	2026-07-30	4	1	0	absent	Docker Compose to run Postiz
134	getopenpost/openpost	NEW	236	AGPL-3.0	2026-09-13	3101	2	0	absent	Create, adapt, schedule, and track social posts. Open-source, hosted or self-hosted.
135	trypostit/trypost	BANK	606	AGPL-3.0	2026-09-11	1097	3	0	absent	Open-source Social Media Scheduling
136	postmill-ai/postmill-app	NEW	6	AGPL-3.0	2026-09-12	324	1	1	absent	Open-source, AI-native social media management & scheduling platform for 45+ channels. BYOK AI across 30+ providers with governance guardrails & spend caps,
137	plankanban/planka	BANK	12542	NOASSERTION	2026-09-08	81	1	1	absent	Elegant open source project tracking. Self-hosted Kanban for teams — free Community edition, with PLANKA Pro for organisations.
138	alextselegidis/easyappointments	BANK	4369	GPL-3.0	2026-09-09	156	2	2	absent	:date: Easy!Appointments - Self Hosted Appointment Scheduler
139	exiftool/exiftool	NEW	5030	GPL-3.0	2026-05-27	10	0	0	absent	ExifTool meta information reader/writer
140	w3c/webvtt	NEW	118	NOASSERTION	2026-05-20	5	4	2	absent	WebVTT Standard
141	InteractiveAdvertisingBureau/openrtb2.x	NEW	168	None	2026-06-11	10	2	0	absent	OpenRTB 2.x specification, from 2.6 onward
142	InteractiveAdvertisingBureau/VAST	NEW	130	NOASSERTION	2026-07-17	39	2	0	absent	Video Ad Serving Template (VAST)
143	idurar/idurar-erp-crm	BANK	8798	AGPL-3.0	2026-08-14	13	1	0	absent	Free Open Source ERP CRM Software Accounting Invoicing | Node.Js React
144	brightbeanxyz/brightbean-studio	BANK	2318	AGPL-3.0	2026-09-11	533	1	0	absent	Open-source, self-hostable social media management platform. Schedule, publish, and manage content across 10+ platforms from a single dashboard. Free alternative to Buffer,
145	chatwoot/chatwoot-mobile-app	NEW	1041	MIT	2026-09-02	70	1	0	absent	Mobile app for Chatwoot - React Native
146	chatwoot/docs	NEW	89	MIT	2026-08-13	16	10	0	absent	Official docs, handbook for Chatwoot
147	cbsshekhawat18-lab/social-stats-social-media-manager	NEW	6	MIT	2026-08-20	55	1	0	absent	Open-source, self-hostable social media management & marketing platform (Django + React) — scheduler, content calendar, analytics, unified inbox, click-to-WhatsApp bot builder, AI
148	harry0703/MoneyPrinterTurbo	NEW	123104	MIT	2026-09-13	388	4	1	absent	利用 AI 大模型和自动化工作流，根据主题或关键词一键生成高清短视频。Generate HD short videos from a topic or keyword with an automated AI workflow.
149	PostHog/posthog	BANK	39772	NOASSERTION	2026-09-13	23341	7	0	absent	:hedgehog: PostHog is the leading platform for building self-driving products. Our developer tools – AI observability, analytics, session replay, flags, experiments, error
150	hcengineering/platform	BANK	27656	EPL-2.0	2026-08-27	245	7	1	absent	Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)
151	monicahq/monica	BANK	25300	AGPL-3.0	2025-08-30	0	0	2	absent	Personal CRM. Remember everything about your friends, family and business relationships.
152	nocobase/nocobase	BANK	24185	NOASSERTION	2026-09-11	3450	5	0	absent	NocoBase is an open-source AI + no-code platform for building business systems fast. Instead of generating everything from scratch, AI works on
153	krayin/laravel-crm	BANK	23862	MIT	2026-09-10	395	4	1	absent	Krayin CRM is Free & Open Source CRM Built with Laravel for Customer, Lead, and Sales Management.
154	super-productivity/super-productivity	NEW	21987	MIT	2026-09-13	2736	4	1	absent	Super Productivity is an advanced todo list app with integrated Timeboxing and time tracking capabilities. It also comes with integrations for Jira,
155	allinurl/goaccess	BANK	20923	MIT	2026-09-13	71	1	2	absent	GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.
156	uvdesk/community-skeleton	BANK	19589	OSL-3.0	2025-10-01	0	0	0	absent	UVdesk Open Source Community Helpdesk is a comprehensive ticketing support system designed for everyone, offering robust features to streamline customer support and
157	ActivityWatch/activitywatch	NEW	18879	MPL-2.0	2026-09-10	120	4	0	absent	The best free and open-source automated time tracker. Cross-platform, extensible, privacy-focused.
158	rybbit-io/rybbit	NEW	12973	AGPL-3.0	2026-09-12	497	2	1	absent	🐸 Rybbit - open-source and privacy-friendly alternative to Google Analytics that is 10x more intuitive.
159	abus-aikorea/voice-pro	NEW	12800	GPL-3.0	2026-07-13	6	1	0	absent	Gradio WebUI for creators and developers, featuring key TTS (Edge-TTS, kokoro) and zero-shot Voice Cloning (E2 & F5-TTS, CosyVoice), with Whisper audio
160	unopim/unopim	BANK	10959	MIT	2026-09-11	435	3	0	absent	Open source Product Information Management (PIM) and Digital Asset Management (DAM) platform built on Laravel — manage, enrich, and scale product data
161	evolution-foundation/evolution-api	NEW	9601	NOASSERTION	2026-05-06	6	1	0	absent	Evolution API is an open-source WhatsApp integration API
162	YaoFANGUK/video-subtitle-extractor	NEW	9478	Apache-2.0	2026-04-09	32	1	0	absent	视频硬字幕提取，生成srt文件。无需申请第三方API，本地实现文本识别。基于深度学习的视频字幕提取框架，包含字幕区域检测、字幕内容提取。A GUI tool for extracting hard-coded subtitle (hardsub) from videos and generating srt files.
163	solidtime-io/solidtime	NEW	8921	AGPL-3.0	2026-09-07	244	3	0	absent	Modern open-source time-tracking app
164	laoma2053/awesome-zhuiju-free	NEW	8483	CC-BY-4.0	2026-09-13	377	2	1	absent	免费无广告的追剧资源指南，人工精选资源、每天检测资源有效性。收录在线影视、影视APP、网盘搜索、磁力BT、字幕、TVBox / 影视仓空壳软件/配置地址、IPTV直播源、会员拼团、影视相关开源项目。开源，社区共同维护。
165	jdepoix/youtube-transcript-api	BANK	8319	MIT	2026-09-09	6	1	1	{'resolved': 1, 'dependent_repos': 205, 'dependent_pkgs': 49, 'downloads': 31950948, 'reach_percentile': 98.2, 'fame_gap': 17.8}	This is a python API which allows you to get the transcript/subtitles for a given YouTube video. It also works for automatically
166	smacke/ffsubsync	BANK	7870	MIT	2026-07-24	67	1	2	absent	Automagically synchronize subtitles with video.
167	miantiao-me/Sink	NEW	7116	AGPL-3.0	2026-08-20	126	1	0	absent	⚡ A Simple / Speedy / Secure Link Shortener with Analytics, 100% run on Cloudflare.
168	JerryZLiu/Dayflow	NEW	7108	MIT	2026-09-11	1105	1	2	absent	The automatic work journal/time tracker. Privately turns your screen into a timeline of what you actually accomplished. Open-source and local-first.
169	vas3k/TaxHacker	BANK	6693	MIT	2026-08-11	58	3	0	absent	Self-hosted AI accounting app. LLM analyzer for receipts, invoices, transactions with custom prompts and categories
170	denizsafak/abogen	NEW	5990	MIT	2026-09-07	233	2	1	absent	Generate audiobooks from EPUBs, PDFs and text with synchronized captions.
171	Countly/countly-server	NEW	5902	NOASSERTION	2026-09-10	1477	2	0	absent	Countly is a privacy-first, AI-powered analytics and engagement platform for understanding and optimizing customer journeys across digital applications, from desktop and mobile
172	wiltodelta/remove-ai-watermarks	NEW	5530	Apache-2.0	2026-09-12	626	1	2	absent	Remove visible and invisible AI watermarks and provenance metadata from images and video. Python library and CLI for SynthID, C2PA, EXIF, IPTC,
173	Kozea/Radicale	NEW	4994	GPL-3.0	2026-09-07	888	2	2	absent	A simple CalDAV (calendar) and CardDAV (contact) server.
174	frappe/books	BANK	4951	AGPL-3.0	2026-09-06	36	4	0	absent	Free Accounting Software
